id_univoco,fonte,nome_testata,data_pubblicazione,data_scraping,titolo,url,tipo_contenuto,lingua,testo_completo,hash_contenuto,ong_collegata,Ambito_Geografico,livello_allarme,Entita_Coinvolte,Sentiment_Direzione,Parole_Chiave,topic_label,confidence,cluster_id,is_primary
1d8726517b8519dae917226362c657549f882e611c671a8df54dcc72d39393ff,tech_news,Agenda Digitale,"Mon, 18 May 2026 12:32:00 +0000",2026-05-19T06:09:58.980896,"Digital Omnibus, l’Europa semplifica o arretra sulle regole digitali?",https://www.agendadigitale.eu/cultura-digitale/digital-omnibus-leuropa-semplifica-o-arretra-sulle-regole-digitali/,articolo,it,"Digital Omnibus, l’Europa semplifica o arretra sulle regole digitali? La Commissione europea ha presentato il Digital Omnibus, un pacchetto di riforme che interviene su GDPR, AI Act, Data Act e governance dei dati. La revisione punta a ridurre gli oneri per le imprese, ma apre interrogativi su tutele, rinvii e deregolamentazione 
 L'articolo  Digital Omnibus, l’Europa semplifica o arretra sulle regole digitali?  proviene da  Agenda Digitale .",1d8726517b8519dae917226362c657549f882e611c671a8df54dcc72d39393ff,Amnesty Italia,Europa,2,"['Digital Omnibus || Aziende e Org Private', 'Agenda Digitale || Personaggi Pubblici', 'Commissione Europea || Istituzioni', 'Europa || Stati e Luoghi', 'GDPR || Leggi e Regolamentazioni || EU', 'AI ACT || Leggi e Regolamentazioni || EU', 'ICO || Istituzioni || Regno Unito']",NEUTRALE,"['digital', 'regole', 'act', 'digitali', 'europa']",Non classificato,0.0,-1,True
529811f48a866594f0f99884dd02b2d359185327ecd9f708e44a2ce0b312683b,tech_news,Agenda Digitale,"Mon, 18 May 2026 12:17:00 +0000",2026-05-19T06:09:58.981123,"Europa digitale: il costo della sovranità, il rischio della dipendenza",https://www.agendadigitale.eu/infrastrutture/europa-digitale-il-costo-della-sovranita-il-rischio-della-dipendenza/,articolo,it,"Europa digitale: il costo della sovranità, il rischio della dipendenza La dipendenza digitale europea riguarda cloud, software, intelligenza artificiale, semiconduttori, pagamenti e infrastrutture critiche. La risposta Ue passa da procurement pubblico, cloud federato, alternative open source, euro digitale, semplificazione normativa e capitale umano, con costi rilevanti ma sempre più politici 
 L'articolo  Europa digitale: il costo della sovranità, il rischio della dipendenza  proviene da  Agenda Digitale .",529811f48a866594f0f99884dd02b2d359185327ecd9f708e44a2ce0b312683b,Italiani Senza Cittadinanza,Europa,2,"['Agenda Digitale || Personaggi Pubblici', 'Europa || Stati e Luoghi', 'ICO || Istituzioni || Regno Unito']",NEUTRALE,"['dipendenza', 'digitale', 'della', 'rischio', 'sovranità']",Non classificato,0.0,-1,True
407c238a6363d41220e7665c390c1d1ad2f1965480f669a171cb0dde53c9b0c7,tech_news,Agenda Digitale,"Mon, 18 May 2026 12:16:00 +0000",2026-05-19T06:09:58.981361,L’intelligenza artificiale non è più uno strumento: è architettura del potere,https://www.agendadigitale.eu/cultura-digitale/lintelligenza-artificiale-non-e-piu-uno-strumento-e-architettura-del-potere/,articolo,it,"L’intelligenza artificiale non è più uno strumento: è architettura del potere L’intelligenza artificiale non può più essere letta solo come tecnologia applicativa. Energia, cloud, capacità computazionale, welfare algoritmico e AI Act mostrano che l’AI sta diventando una infrastruttura della decisione, con effetti diretti su diritti, amministrazione pubblica e sovranità europea 
 L'articolo  L’intelligenza artificiale non è più uno strumento: è architettura del potere  proviene da  Agenda Digitale .",407c238a6363d41220e7665c390c1d1ad2f1965480f669a171cb0dde53c9b0c7,Amnesty Italia,Europa,2,"['Agenda Digitale || Personaggi Pubblici', 'Energia || Personaggi Pubblici', 'AI ACT || Leggi e Regolamentazioni || EU', 'ICO || Istituzioni || Regno Unito']",NEUTRALE,"['non', 'uno', 'più', 'intelligenza', 'artificiale']",Non classificato,0.0,-1,True
a58e8a41d0f6398b30a9061f6cda2ff1b5b2bfedfea640bcb21c0dcf2139f72f,tech_news,Agenda Digitale,"Mon, 18 May 2026 12:15:00 +0000",2026-05-19T06:09:58.981565,Formazione AI in azienda: come strutturare percorsi efficaci,https://www.agendadigitale.eu/industry-4-0/formazione-ai-in-azienda-come-strutturare-percorsi-efficaci/,articolo,it,"Formazione AI in azienda: come strutturare percorsi efficaci La formazione AI in azienda richiede percorsi pratici, differenziati per ruolo e integrati con change management, governance e misurazione dei risultati. Dalla mappatura delle competenze ai KPI, ecco come rendere l’adozione dell’intelligenza artificiale più efficace e sostenibile 
 L'articolo  Formazione AI in azienda: come strutturare percorsi efficaci  proviene da  Agenda Digitale .",a58e8a41d0f6398b30a9061f6cda2ff1b5b2bfedfea640bcb21c0dcf2139f72f,Amnesty Italia,Italia,2,"['Agenda Digitale || Personaggi Pubblici', 'ICO || Istituzioni || Regno Unito']",POSITIVO (Diritti tutelati),"['azienda', 'come', 'ai', 'in', 'ruolo']",Non classificato,0.0,-1,True
2c07d69bebce0cf5be8d91afe6e1b0b874d7bc0074e7e691e3de29fb80e3b8bd,tech_news,Agenda Digitale,"Mon, 18 May 2026 11:54:00 +0000",2026-05-19T06:09:58.981752,Cognitive turn: la nuova era delle decisioni aziendali,https://www.agendadigitale.eu/industry-4-0/dallintuito-del-manager-allai-la-nuova-era-delle-decisioni/,articolo,it,"Cognitive turn: la nuova era delle decisioni aziendali L’intelligenza artificiale sta trasformando il management: le decisioni aziendali diventano processi distribuiti tra manager, dati e algoritmi. Crescono opportunità di analisi e previsione, ma anche rischi di dipendenza cognitiva, opacità decisionale e nuove responsabilità di governance 
 L'articolo  Cognitive turn: la nuova era delle decisioni aziendali  proviene da  Agenda Digitale .",2c07d69bebce0cf5be8d91afe6e1b0b874d7bc0074e7e691e3de29fb80e3b8bd,Italiani Senza Cittadinanza,Italia,2,"['Agenda Digitale || Personaggi Pubblici', 'ICO || Istituzioni || Regno Unito']",POSITIVO (Diritti tutelati),"['decisioni', 'aziendali', 'era', 'nuova', 'delle']",Non classificato,0.0,-1,True
100231421ce360c9d4df9ed0f7d414513a76a0e74fec8270b27120ac1d044bcb,tech_news,Agenda Digitale,"Mon, 18 May 2026 10:30:41 +0000",2026-05-19T06:09:58.981943,NIS2 e trasformazione digitale: la sicurezza degli endpoint come leva strategica per imprese e PA,https://www.agendadigitale.eu/sicurezza/nis2-e-trasformazione-digitale-la-sicurezza-degli-endpoint-come-leva-strategica-per-imprese-e-pa/,articolo,it,"NIS2 e trasformazione digitale: la sicurezza degli endpoint come leva strategica per imprese e PA La Direttiva NIS2 spinge imprese e pubbliche amministrazioni verso una gestione più strutturata del rischio cyber. La sicurezza degli endpoint mobili diventa centrale per garantire visibilità, controllo e continuità operativa nei processi di trasformazione digitale 
 L'articolo  NIS2 e trasformazione digitale: la sicurezza degli endpoint come leva strategica per imprese e PA  proviene da  Agenda Digitale .",100231421ce360c9d4df9ed0f7d414513a76a0e74fec8270b27120ac1d044bcb,Italiani Senza Cittadinanza,Italia,2,"['Agenda Digitale || Personaggi Pubblici', 'NIS2 || Leggi e Regolamentazioni || EU', 'ICO || Istituzioni || Regno Unito']",POSITIVO (Diritti tutelati),"['endpoint', 'trasformazione', 'degli', 'nis2', 'imprese']",Non classificato,0.0,-1,True
6fe1ba5d8366b4ece0ec9bea2393e75668cf8c2913cad299fc0b49f03b7a408c,tech_news,Cybersecurity360,"Mon, 18 May 2026 13:09:44 +0000",2026-05-19T06:09:59.109921,VPN gratis senza rischi: come sfruttare i periodi di prova di 4 provider leader,https://www.cybersecurity360.it/cybersecurity-nazionale/vpn-gratis-senza-rischi-come-sfruttare-i-periodi-di-prova/,articolo,it,"VPN gratis senza rischi: come sfruttare i periodi di prova di 4 provider leader L'analisi comparativa dei modelli di pricing e delle infrastrutture hardware dei principali provider di cybersecurity. Dai server TrustedServer in sola RAM alle giurisdizioni elvetiche e offshore, ecco come ottimizzare l'allocazione del budget sfruttando i test a costo zero coperti da garanzia di rimborso 
 L'articolo  VPN gratis senza rischi: come sfruttare i periodi di prova di 4 provider leader  proviene da  Cyber Security 360 .",6fe1ba5d8366b4ece0ec9bea2393e75668cf8c2913cad299fc0b49f03b7a408c,Privacy Network,Italia,2,['ICO || Istituzioni || Regno Unito'],POSITIVO (Diritti tutelati),"['di', 'vpn', 'sfruttare', 'senza', 'come']",Non classificato,0.0,-1,True
151cdc3038ca5997e717b09e0e730c76012752fd62ccf1a689093462486f8fc1,tech_news,Cybersecurity360,"Fri, 15 May 2026 14:30:00 +0000",2026-05-19T06:09:59.110799,"Data manipulation, l’attacco che non si vede: minaccia strutturale dell’industria connessa",https://www.cybersecurity360.it/nuove-minacce/lattacco-che-non-si-vede-la-data-manipulation-e-la-minaccia-strutturale-dellindustria-connessa/,articolo,it,"Data manipulation, l’attacco che non si vede: minaccia strutturale dell’industria connessa A differenza del ransomware, che si annuncia con una nota di riscatto, la Data Manipulation può restare invisibile per settimane o mesi. Ecco perché è la minaccia numero uno rilevata nei sistemi OT e IoT delle organizzazioni italiane e perché per il manifatturiero italiano la visibilità OT non è un investimento opzionale 
 L'articolo  Data manipulation, l’attacco che non si vede: minaccia strutturale dell’industria connessa  proviene da  Cyber Security 360 .",151cdc3038ca5997e717b09e0e730c76012752fd62ccf1a689093462486f8fc1,Italiani Senza Cittadinanza,Italia,2,['ICO || Istituzioni || Regno Unito'],NEUTRALE,"['si', 'perché', 'non', 'industria', 'data']",Non classificato,0.0,-1,True
5fa9e0d45e5accf880428e9356031743426c1c53137fdd13af3565cf6a04ea06,tech_news,Corriere Comunicazioni,"Mon, 18 May 2026 13:07:05 +0000",2026-05-19T06:09:59.129909,"Data center, la sfida europea: dalla domanda energetica al supporto alla rete",https://www.corrierecomunicazioni.it/digital-economy/data-center-la-sfida-europea-dalla-domanda-energetica-al-supporto-alla-rete/,articolo,it,"Data center, la sfida europea: dalla domanda energetica al supporto alla rete L’intelligenza artificiale e il boom dei servizi cloud spingono i consumi oltre il 50% al 2030. Per evitare congestioni e rischi di instabilità, i gestori europei chiedono nuove regole di connessione, più trasparenza sulla capacità disponibile e data center capaci di offrire flessibilità al sistema elettrico 
 L'articolo  Data center, la sfida europea: dalla domanda energetica al supporto alla rete  proviene da  CorCom .",5fa9e0d45e5accf880428e9356031743426c1c53137fdd13af3565cf6a04ea06,Italiani Senza Cittadinanza,Europa,2,"['Corcom || Aziende e Org Private', 'ICO || Istituzioni || Regno Unito']",POSITIVO (Diritti tutelati),"['center', 'al', 'domanda', 'energetica', 'sfida']",Non classificato,0.0,0,True
0aaf816f00d506de3db447c67b60574bdc2783b23da32179249a507238a58884,tech_news,Corriere Comunicazioni,"Mon, 18 May 2026 12:09:54 +0000",2026-05-19T06:09:59.130268,"Hormuz, l’Iran alza la posta sui cavi sottomarini: al vaglio tariffe e licenze",https://www.corrierecomunicazioni.it/telco/hormuz-liran-alza-la-posta-sui-cavi-sottomarini-al-vaglio-tariffe-e-licenze/,articolo,it,"Hormuz, l’Iran alza la posta sui cavi sottomarini: al vaglio tariffe e licenze Dopo petrolio, navi e pedaggi, Teheran prova a trasformare le dorsali digitali in leva geopolitica. A rischio non solo i blackout di rete, ma anche cloud, finanza, servizi critici e filiere dell’intelligenza artificiale 
 L'articolo  Hormuz, l’Iran alza la posta sui cavi sottomarini: al vaglio tariffe e licenze  proviene da  CorCom .",0aaf816f00d506de3db447c67b60574bdc2783b23da32179249a507238a58884,Italiani Senza Cittadinanza,Italia,2,"['Corcom || Aziende e Org Private', 'Iran || Stati e Luoghi', 'Hormuz || Stati e Luoghi', 'Teheran || Stati e Luoghi', 'ICO || Istituzioni || Regno Unito']",NEUTRALE,"['sui', 'al', 'solo', 'rischio', 'digitali']",Non classificato,0.0,-1,True
bc673e89d02808846251031c691057c88c998ba7d395e3063a72a189b7c56544,tech_news,Corriere Comunicazioni,"Mon, 18 May 2026 10:49:36 +0000",2026-05-19T06:09:59.130909,"Cybersecurity, le telco entrano nella nuova fase dell’AI difensiva",https://www.corrierecomunicazioni.it/cyber-security/cybersecurity-le-telco-entrano-nella-nuova-fase-dellai-difensiva/,articolo,it,"Cybersecurity, le telco entrano nella nuova fase dell’AI difensiva Verizon aderisce a Project Glasswing di Anthropic: un passo che va oltre il valore dell’accordo in sé e indica che gli operatori di rete iniziano a considerare i modelli di AI più avanzati come strumenti strategici per rafforzare la sicurezza di software, servizi critici e infrastrutture digitali sempre più esposte 
 L'articolo  Cybersecurity, le telco entrano nella nuova fase dell’AI difensiva  proviene da  CorCom .",bc673e89d02808846251031c691057c88c998ba7d395e3063a72a189b7c56544,AI Forensics,Italia,2,"['Verizon || Personaggi Pubblici', 'Cybersecurity || Aziende e Org Private', 'Corcom || Stati e Luoghi', 'ICO || Istituzioni || Regno Unito']",POSITIVO (Diritti tutelati),"['telco', 'nella', 'dell', 'nuova', 'ai']",Non classificato,0.0,-1,True
