data,fonte,titolo,ambito_geografico,errore_segnalato,categoria_corretta,timestamp_correzione,utente
2026-04-24,Garante Privacy,"VADEMECUM - ""LA SCUOLA A PROVA DI PRIVACY"". Online la versione aggiornata",USA / Internazionale,True,Non modificato,2026-04-27T00:32:52.763464,Operatore
2026-04-24,Garante Privacy,"COMUNICATO STAMPA - Garanti europei, focus sugli obblighi di informazione e trasparenza",USA / Internazionale,True,Non modificato,2026-04-27T00:32:52.763464,Operatore
2026-04-27,Garante Privacy,"VADEMECUM - ""LA SCUOLA A PROVA DI PRIVACY"". Online la versione aggiornata",USA / Internazionale,True,Italia,2026-04-27T18:36:38.762601,Operatore
2026-05-02,GNews,"Diabete, Roche lancia in Italia Accu-Chek SmartGuide per monitorare il glucosio",Italia,2,True,Non modificato,3,,2026-05-02T17:45:04.789380,Operatore,classificazione
2026-05-02,GNews,Pisa-Lecce pronostico risultato IA 35ª giornata Serie A,Italia,2,True,Non modificato,1,,2026-05-02T17:45:04.789380,Operatore,classificazione
2026-05-02,GNews,"Dall'immigrazione all'intelligenza artificiale, l'Arca delle idee di Siri (Lega) fa sold out",Italia,2,True,Non modificato,1,,2026-05-02T17:45:04.789380,Operatore,classificazione
2026-05-02,Garante Privacy,FORMAZIONE - Applicazione OLIVIA: 15 corsi gratuiti sul Gdpr e test di controllo per verificare la conformità alla disciplina sulla privacy,Europa,2,True,Non modificato,1,,2026-05-02T17:45:04.789380,Operatore,classificazione
2026-05-02,Garante Privacy,FAQ in materia di trattamento di dati personali dei partecipanti alle procedure concorsuali per finalità di pubblicità e trasparenza alla luce delle recenti disposizioni normative,Europa,2,True,Non modificato,1,,2026-05-02T17:45:04.789380,Operatore,classificazione
2026-05-02,Garante Privacy,FORMAZIONE - “La Privacy in salute”. Il 29 settembre si terrà il terzo appuntamento dedicato al settore sanitario e della ricerca scientifica - DISPONIBILI LE SLIDE DELL'EVENTO,Italia,2,True,Non modificato,1,,2026-05-02T17:45:04.789380,Operatore,classificazione
,Electronic Frontier Foundation,EFF Submission to UN Report on the Role of Media in the Context of Israel’s Policies Toward Palestinians,Internazionale,2,True,Non modificato,3,,2026-05-02T17:45:04.789380,Operatore,classificazione
,Electronic Frontier Foundation,Palantir Has a Human Rights Policy. Its ICE Work Tells a Different Story,Internazionale,1,True,Non modificato,3,,2026-05-02T17:45:04.789380,Operatore,classificazione
,Electronic Frontier Foundation,Weakening Speech Protections Will Punish All of Us—Not Just Meta,Internazionale,1,True,Non modificato,5,,2026-05-02T17:45:04.789380,Operatore,classificazione
,Electronic Frontier Foundation,"Google and Amazon: Acknowledged Risks, and Ignored Responsibilities",Internazionale,1,True,Non modificato,3,,2026-05-02T17:45:04.789380,Operatore,classificazione
